id,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
0,0.000000,0.000000,0.000001,0.001749,0.000000,0.000115,0.000000,0.994873,0.000001,0.003262
1,0.000002,0.000352,0.984453,0.010483,0.000000,0.000313,0.000339,0.000000,0.004058,0.000000
2,0.000000,0.990809,0.002510,0.000963,0.000385,0.000011,0.000001,0.000020,0.002788,0.002514
3,0.995462,0.000000,0.000005,0.000000,0.000000,0.003823,0.000707,0.000000,0.000002,0.000000
4,0.000000,0.000127,0.000006,0.000001,0.952227,0.000108,0.000027,0.000064,0.000766,0.046673
5,0.000000,0.991012,0.000170,0.000594,0.000045,0.000001,0.000000,0.000071,0.000801,0.007306
6,0.000000,0.000003,0.000001,0.000000,0.994096,0.000576,0.001382,0.000000,0.002298,0.001644
7,0.000000,0.015804,0.000047,0.003891,0.009978,0.001739,0.000000,0.012748,0.003787,0.952007
8,0.000057,0.000103,0.000741,0.000025,0.920745,0.010386,0.018314,0.000026,0.038867,0.010737
9,0.000000,0.000258,0.000000,0.000013,0.029554,0.000096,0.000000,0.003860,0.000735,0.965483
10,0.996924,0.000000,0.000000,0.000000,0.000000,0.002867,0.000209,0.000000,0.000001,0.000000
11,0.001891,0.000000,0.000346,0.000000,0.003394,0.000624,0.992170,0.000000,0.001574,0.000000
12,0.000000,0.000734,0.000001,0.000027,0.015217,0.000071,0.000000,0.003260,0.000595,0.980096
13,0.995897,0.000000,0.000000,0.000000,0.000000,0.003872,0.000229,0.000000,0.000001,0.000000
14,0.000000,0.999257,0.000021,0.000142,0.000002,0.000000,0.000000,0.000001,0.000146,0.000431
15,0.001474,0.000007,0.000677,0.053288,0.000211,0.911188,0.000124,0.003542,0.022786,0.006702
16,0.000000,0.000790,0.000002,0.000020,0.025688,0.000062,0.000000,0.006724,0.000917,0.965797
17,0.000000,0.000000,0.000002,0.008073,0.000000,0.000185,0.000000,0.990276,0.000001,0.001462
18,0.000000,0.057586,0.124521,0.781105,0.000002,0.003901,0.000006,0.000240,0.032353,0.000286
19,0.000000,0.000013,0.000001,0.000000,0.996494,0.000097,0.000153,0.000001,0.000170,0.003071
20,0.000000,0.000006,0.000000,0.000152,0.006739,0.003666,0.000000,0.068067,0.000226,0.921144
21,0.010725,0.000000,0.000030,0.000000,0.001943,0.003045,0.984061,0.000000,0.000195,0.000000
22,0.002348,0.000001,0.002159,0.000000,0.025623,0.000891,0.967822,0.000000,0.001155,0.000002
23,0.029912,0.000000,0.000009,0.000420,0.000219,0.967775,0.000625,0.000051,0.000831,0.000157
24,0.000004,0.000013,0.000014,0.000003,0.986613,0.001228,0.000477,0.000083,0.000329,0.011238
25,0.990166,0.000000,0.000001,0.000000,0.000004,0.005199,0.004624,0.000000,0.000006,0.000000
26,0.000000,0.000000,0.000000,0.000310,0.000000,0.000157,0.000000,0.988948,0.000000,0.010585
27,0.000000,0.000005,0.000000,0.000000,0.996833,0.000040,0.000065,0.000001,0.000183,0.002874
28,0.999320,0.000000,0.000000,0.000000,0.000000,0.000545,0.000134,0.000000,0.000000,0.000000
29,0.000000,0.993945,0.000485,0.001420,0.000047,0.000007,0.000000,0.000003,0.002950,0.001144
30,0.000000,0.000598,0.000143,0.991028,0.000000,0.000756,0.000000,0.006855,0.000137,0.000482
31,0.000000,0.979881,0.000495,0.004272,0.000258,0.000034,0.000000,0.000080,0.002648,0.012332
16,0.000000,0.000450,0.000107,0.996430,0.000000,0.000855,0.000000,0.001629,0.000277,0.000253
17,0.108542,0.000000,0.000861,0.000007,0.252721,0.050942,0.584358,0.000009,0.002418,0.000142
18,0.000000,0.000012,0.000016,0.007161,0.000000,0.000067,0.000000,0.985874,0.000043,0.006826
19,0.000000,0.000372,0.995134,0.002528,0.000000,0.000010,0.000005,0.000000,0.001950,0.000000
20,0.000000,0.000016,0.000009,0.005719,0.000000,0.000115,0.000000,0.978107,0.000022,0.016012
21,0.000000,0.995483,0.000092,0.000370,0.000063,0.000002,0.000000,0.000004,0.001355,0.002631
22,0.000135,0.000733,0.766960,0.147648,0.000002,0.022684,0.001038,0.000013,0.060778,0.000010
23,0.000000,0.993606,0.000059,0.000138,0.000163,0.000001,0.000000,0.000001,0.003274,0.002757
24,0.000000,0.993437,0.002059,0.002095,0.000045,0.000007,0.000000,0.000016,0.001336,0.001005
25,0.000000,0.000025,0.000009,0.006329,0.000000,0.000108,0.000000,0.977818,0.000010,0.015701
26,0.000000,0.000080,0.000006,0.000000,0.980369,0.000124,0.000105,0.000005,0.002761,0.016549
27,0.000011,0.003375,0.956402,0.000676,0.000052,0.000287,0.017517,0.000000,0.021680,0.000001
28,0.000000,0.004894,0.004330,0.970968,0.000002,0.013327,0.000001,0.002211,0.002728,0.001539
29,0.003721,0.000000,0.000178,0.007639,0.000202,0.978463,0.000679,0.000100,0.008387,0.000631
30,0.000000,0.987426,0.000270,0.007462,0.000006,0.000008,0.000000,0.000029,0.001938,0.002859
31,0.000012,0.000665,0.966874,0.000107,0.000016,0.000069,0.025110,0.000000,0.007147,0.000000
32,0.000000,0.000010,0.000000,0.000000,0.992286,0.000064,0.000050,0.000000,0.001762,0.005828
33,0.000000,0.000103,0.000007,0.000000,0.992117,0.000025,0.000074,0.000003,0.000490,0.007181
34,0.017965,0.000000,0.000219,0.000000,0.000117,0.001242,0.980384,0.000000,0.000072,0.000000
35,0.000000,0.000842,0.000388,0.993613,0.000000,0.000334,0.000000,0.004453,0.000195,0.000174
36,0.009879,0.000000,0.000042,0.001847,0.000951,0.983582,0.000701,0.000271,0.001662,0.001066
37,0.000648,0.000010,0.000144,0.012804,0.006875,0.903359,0.000197,0.006597,0.012700,0.056666
38,0.000062,0.000000,0.002871,0.000000,0.000044,0.000008,0.996573,0.000000,0.000442,0.000000
39,0.954058,0.000000,0.000010,0.000000,0.000002,0.007861,0.037982,0.000000,0.000086,0.000000
40,0.000000,0.000002,0.000000,0.000000,0.998340,0.000033,0.000129,0.000000,0.000226,0.001271
41,0.000000,0.991836,0.000307,0.001287,0.000032,0.000002,0.000000,0.000091,0.000850,0.005595
42,0.000000,0.000457,0.000000,0.000016,0.024433,0.000050,0.000000,0.004958,0.000189,0.969896
43,0.002417,0.000003,0.000121,0.016535,0.003025,0.535581,0.000022,0.339621,0.000931,0.101744
44,0.000000,0.000000,0.000000,0.000475,0.000000,0.000061,0.000000,0.996423,0.000000,0.003041
45,0.000000,0.003234,0.023241,0.001384,0.000065,0.000784,0.000052,0.000016,0.970559,0.000665
46,0.000001,0.000244,0.000038,0.000314,0.257150,0.013172,0.000024,0.010014,0.007374,0.711668
47,0.000000,0.051866,0.029885,0.911104,0.000000,0.000199,0.000000,0.002084,0.004617,0.000246
32,0.000000,0.000006,0.000005,0.002511,0.000000,0.000073,0.000000,0.986255,0.000012,0.011138
33,0.000004,0.000320,0.000101,0.000137,0.932662,0.025437,0.003932,0.000026,0.010176,0.027205
34,0.022623,0.000029,0.090460,0.000112,0.036358,0.017919,0.819429,0.000006,0.012992,0.000072
35,0.000000,0.000022,0.000002,0.000000,0.995485,0.000020,0.000060,0.000002,0.000212,0.004196
36,0.000000,0.000612,0.000055,0.990326,0.000000,0.000477,0.000000,0.006967,0.000580,0.000984
37,0.998152,0.000000,0.000001,0.000000,0.000000,0.001434,0.000413,0.000000,0.000001,0.000000
38,0.000000,0.000000,0.000000,0.002109,0.000000,0.000120,0.000000,0.996040,0.000000,0.001730
39,0.998923,0.000000,0.000000,0.000000,0.000000,0.000925,0.000152,0.000000,0.000000,0.000000
40,0.000099,0.000002,0.994894,0.004559,0.000000,0.000153,0.000048,0.000000,0.000244,0.000000
41,0.000000,0.001764,0.000005,0.000786,0.000072,0.000062,0.000000,0.103048,0.002607,0.891658
42,0.000000,0.988341,0.000118,0.000279,0.000426,0.000004,0.000000,0.000003,0.004790,0.006038
43,0.000000,0.000001,0.000001,0.001619,0.000000,0.000254,0.000000,0.985223,0.000004,0.012898
44,0.000000,0.021302,0.001047,0.970406,0.000000,0.001770,0.000000,0.000941,0.002919,0.001613
45,0.000076,0.007021,0.932173,0.004812,0.000617,0.002222,0.002482,0.000278,0.049941,0.000379
46,0.000000,0.011786,0.000015,0.000209,0.090939,0.000770,0.000001,0.000496,0.020028,0.875756
47,0.000000,0.000000,0.000000,0.000243,0.000000,0.000030,0.000000,0.994813,0.000001,0.004914
48,0.000000,0.000000,0.000000,0.000223,0.000137,0.001382,0.000000,0.787274,0.000002,0.210983
49,0.003974,0.000000,0.000435,0.000000,0.006052,0.000937,0.988123,0.000000,0.000478,0.000000
50,0.000000,0.000074,0.999133,0.000287,0.000000,0.000002,0.000006,0.000000,0.000500,0.000000
51,0.000000,0.000000,0.000000,0.000074,0.000002,0.000113,0.000000,0.960041,0.000000,0.039770
52,0.000001,0.000497,0.000861,0.000131,0.010471,0.006131,0.001549,0.000001,0.977511,0.002847
53,0.000000,0.000001,0.000000,0.000000,0.998998,0.000017,0.000075,0.000000,0.000159,0.000749
54,0.000000,0.000001,0.000001,0.001158,0.000000,0.000033,0.000000,0.993760,0.000003,0.005045
55,0.000000,0.000087,0.000089,0.934079,0.000001,0.043476,0.000000,0.017432,0.000386,0.004451
56,0.000181,0.000000,0.000288,0.000000,0.002691,0.000050,0.996644,0.000000,0.000146,0.000000
57,0.000000,0.990918,0.000794,0.000245,0.000874,0.000005,0.000001,0.000005,0.004025,0.003134
58,0.000000,0.001211,0.003779,0.991161,0.000000,0.000979,0.000000,0.000757,0.002039,0.000075
59,0.000166,0.000000,0.000155,0.000000,0.000298,0.000030,0.999270,0.000000,0.000080,0.000000
60,0.000000,0.002799,0.000078,0.000334,0.190827,0.003352,0.000013,0.003412,0.015484,0.783703
61,0.000000,0.001230,0.000170,0.954533,0.000000,0.007012,0.000000,0.018889,0.005943,0.012222
62,0.000000,0.979278,0.000237,0.000143,0.000507,0.000004,0.000001,0.000000,0.017978,0.001852
63,0.000000,0.000002,0.000001,0.000000,0.998961,0.000018,0.000385,0.000000,0.000165,0.000467
48,0.000000,0.903367,0.000391,0.008595,0.000988,0.000161,0.000000,0.000362,0.008679,0.077457
49,0.000000,0.000013,0.000018,0.021668,0.000002,0.002363,0.000000,0.932843,0.000130,0.042963
50,0.005054,0.000000,0.000185,0.000000,0.000421,0.000419,0.993742,0.000000,0.000180,0.000000
51,0.000000,0.000359,0.000000,0.000048,0.000093,0.000005,0.000000,0.055098,0.000058,0.944338
52,0.001037,0.000000,0.003774,0.000000,0.001109,0.000202,0.993229,0.000000,0.000650,0.000000
53,0.998239,0.000000,0.000000,0.000000,0.000000,0.001588,0.000173,0.000000,0.000000,0.000000
54,0.004586,0.000000,0.000006,0.002400,0.000018,0.989728,0.000017,0.000442,0.002149,0.000655
